id,created_at,title,description,beds,baths,area,image_url,features,display_order
03625d10-c736-4774-ae80-bcdec4c15f46,2025-10-19 23:39:13.255195+00,Mystique,,4,4,4000,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/TN.png,[],8
0b2ae347-bfc8-4616-8739-fee16095aaf6,2025-09-10 14:34:02.386478+00,Titan,,4,4,5200,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Titan%20TN%20Back.png,[],18
1935b242-e95c-4a54-8b32-050fb43d82f2,2025-02-21 10:18:53.840781+00,Cloud Gate,,3,2.5,2600,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20TN%20(8).webp,[],27
1ef4cfde-a4ed-473f-b771-27efdab2984b,2025-02-21 10:18:53.840781+00,Vatican,,6,4.5,4650,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20Vatican%20Thumb.webp,[],23
20dc2e6a-38ea-4025-a494-7a410b4ebd49,2025-02-28 15:15:18.364881+00,Horizon,,4,3,3400,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20Horizon%20TN.webp,[],13
287b9ca5-5aa7-4210-baa3-d24ab979061f,2025-02-21 10:18:53.840781+00,The Bungalow,,2,1.5,1200,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20TN%20(1)%20(1).webp,[],45
2fe1bf84-4b30-4c7b-97aa-0b8a8edf06c1,2025-02-21 10:18:53.840781+00,York Creek,,4,4.5,4200,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20YC%20Thumb.webp,[],19
47baad6b-7d41-4689-9cec-1a7c971c65fe,2025-02-21 10:18:53.840781+00,The Villa,,3,3.5,2000,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20Villa%20Thumb%20(1).webp,[],44
48fb5ca3-d124-4a0f-a9ec-4eabac25cf73,2025-02-21 10:18:53.840781+00,The Retreat,,8,8,6500,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20The%20Retreat%20TN%20(1).webp,[],6
55d83057-13d5-4c82-a3b9-0068a79d8444,2025-02-21 10:18:53.840781+00,Arena,,4,2.5,3300,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20Arena%20(1).webp,[],9
59d95a77-9c0b-45c6-98c2-e2ded159c06f,2025-02-28 15:14:51.362323+00,Farm Modern,,3,2.5,2200,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20Farm%20Modern.webp,[],42
5b556ceb-fe48-4e5b-aff5-af4803ae5b0c,2025-02-21 10:18:53.840781+00,The Apex,,4,3.5,3323,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20Apex.webp,[],3
644d89ea-d9a8-4b32-81ba-4d5136e1a402,2025-02-21 10:18:53.840781+00,Medina Shores,,2,2,1850,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20TN%20(7).webp,[],44
6aa8f795-d176-4a1a-bf75-47acd9eb19eb,2025-02-21 10:18:53.840781+00,Sky Haus,,3,2.5,1800,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20TN2%20(2).webp,[],12
6eab668a-cf80-41d9-af96-6cf8af3e7803,2025-02-28 15:16:14.810396+00,Escape,,3,2.5,2100,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20Escape%20(1)%20(1).webp,[],15
70ed08c7-bf88-4375-935c-3ca3bebeafce,2025-02-28 15:15:46.603122+00,Silo Estate,,4,2,2450,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20Silo%20Estate.webp,[],30
720d8be7-bc3f-4ca5-9ecd-ec44c7093cb4,2025-02-28 15:16:39.87292+00,Iowa,,6,5.5,7000,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20Iowa%20TN%20(1).webp,[],2
7709ace4-9b29-44a3-b88d-3691a63732ad,2025-02-21 10:18:53.840781+00,Evergreen,,2,2,1200,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20TN%20(4).webp,[],41
78c0b3ce-745d-4d93-a8be-fae985912dc2,2025-02-21 10:18:53.840781+00,Dynasty,,4,5.5,3850,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20Dynasty%20(1).webp,[],43
7939a292-ff4b-46b5-9e24-b949997ecc2f,2025-02-21 10:18:53.840781+00,Serenity,,3,3,3200,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20Serenity%20TN.webp,[],10
79ce2ec4-0740-449d-9aaf-a511f97a4ba8,2025-02-21 10:18:53.840781+00,The Orlando,,3,2.5,2000,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20TN%20(11).webp,[],19
96bdff03-5a9a-43d1-b866-a8c82da7d6fd,2025-02-21 10:18:53.840781+00,Pedernales,,4,3.5,3200,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20PN%20Thumb%20-%20Copy.webp,[],9
9c8095ff-9859-40bd-a6f5-4887df99c5ab,2025-02-21 10:18:53.840781+00,The Estate,,5,5,4500,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/floorplans/Copy%20of%20Estate%20(1).webp,[],5
9dc967e6-ea6f-448a-aae3-b2d0c5cdfb0a,2025-02-28 15:13:39.910806+00,Open home,,2,1.5,1600,https://hbfjdfxephlczkfgpceg.supabase.co/storage/v1/object/public/website/barnhaus/Open%20Home.png,[],20
